geoid,lon,lat,call_count,geoid_2020
420032509001,-80.0047767963606,40.4608250354721,2083,420032509001
420032509002,-80.0039441708113,40.4641644597193,598,420032509002
420032602001,-80.0133786632948,40.4916357821417,764,420032602001
420032602002,-80.0228512537478,40.490322996976,1224,420032602002
420032602003,-80.0188673581545,40.4933725778329,637,420032602002
420032607001,-80.0114095276025,40.4837736256873,791,420032607002
420032607002,-80.0120517889471,40.4793505715975,712,420039804001
420032609001,-80.0025995579402,40.4776416082678,5471,420032613001
420032612001,-80.0081134176757,40.4922461463542,949,420032613002
420032614001,-80.0169006274862,40.4653303041762,1133,420032614001
420032614002,-80.0134995224979,40.4620072011017,934,420032614002
420032614003,-80.0114625716533,40.4679627475043,1757,420032614003
420032614004,-80.0064378243556,40.4683565972027,2420,420032614004
420032615001,-80.0097318814036,40.4734029343779,2347,420032615001
420032615002,-80.019314049923,40.4698707007682,1494,420032615002
420032620001,-79.994174372302,40.4632209739391,2412,420032620001
420032620002,-79.992714736811,40.467762820025,3735,420032620002
420032620003,-79.9965038011094,40.4698781496461,929,420032620003
420032701001,-80.0396225093196,40.484596992489,1597,420032701001
420032701002,-80.0463655725058,40.4824076190694,1843,420032701002
420032703001,-80.035181246718,40.4783600008758,2450,420032703001
420032703002,-80.0397210121806,40.4769188357673,2001,420032703002
420032704001,-80.028514634242,40.4654074917589,1583,420032716004
420032708001,-80.0376396991712,40.4884075231455,978,420032708001
420032708002,-80.0308346281517,40.481175847841,1435,420032708002
420032708003,-80.0297262636535,40.4865949855225,744,420032708003
420032715001,-80.0239807996191,40.4750842177715,1644,420032716001
420032715002,-80.0297365899697,40.4706306326004,2571,420032716002
420032715003,-80.0340765124608,40.4716807111625,1953,420032716003
420032814001,-80.0569315236601,40.4496389538746,735,420032814001
420032814002,-80.050197537515,40.4462584701274,3889,420032814002
420032815001,-80.050916880906,40.4402227756238,675,420032815001
420032815002,-80.056861882712,40.4407107472525,990,420032815002
420032901001,-79.9944800794115,40.401749585794,1511,420032901001
420032901002,-79.9925089091687,40.3969243447976,1503,420032901001
420032901003,-79.9901650782678,40.3936931570302,1951,420032901003
420032902001,-79.9817065850805,40.4021390250024,1145,420032902001
420032902002,-79.98265123554,40.3927884175887,2255,420032902002
420032902003,-79.9842528796464,40.395194733855,1048,420032902003
420032902004,-79.9865877197741,40.3995407815949,1347,420032902004
420032902005,-79.9878823257091,40.4039428988648,1734,420032902005
420032904001,-79.9898623530459,40.3897527500212,940,420032904001
420032904002,-79.9814742055697,40.3877483111003,2905,420032904002
420032904003,-79.9867668555638,40.3844269259407,862,420032904001
420032904004,-79.9764211033501,40.3909891226662,1365,420032904004
420032904005,-79.9803215106737,40.3823981835111,1657,420032904003
420033001001,-79.9927448657879,40.4178352450618,696,420033001001
420033001002,-79.9924641026291,40.4165787842053,1100,420033001001
420033001003,-79.9928228942653,40.4148169720333,2288,420033001002
420033001004,-79.9929440504832,40.4128653477281,1873,420033001003
420033001005,-79.9931776457397,40.4109436005304,1553,420033001004
420033001006,-79.9939401230778,40.408858318253,1478,420033001005
420033102001,-79.9121908150611,40.3771486844656,672,420033102001
420033102002,-79.9062810160376,40.3680778658708,648,420033102002
420033102003,-79.9108831758662,40.3656898526846,666,420033102002
420033102004,-79.919191107139,40.3745364104185,874,420033102003
420033102005,-79.9180494667986,40.3677162761951,630,420033102002
420033103001,-79.9225499137721,40.3879335684698,709,420035653001
420033204001,-79.9903258708387,40.3813387035233,2450,420033204001
420033204002,-79.9933967086181,40.3870229058559,575,420033204002
420033204003,-79.995229518391,40.3912080273824,640,420033204002
420033206001,-80.0068225564224,40.3971446345386,1048,420033206001
420033206002,-80.0036571132716,40.392691148933,1190,420033206002
420033207001,-80.0009400800823,40.3857439191408,1085,420033207001
420033207002,-79.9993631035388,40.3783603089372,904,420033207002
420034230002,-79.900709195044,40.4900248320181,4,420034230002
420034240002,-79.9203352279363,40.4919149755977,1,420034240002
420034281002,-79.9830387040237,40.4713743699056,1,420034281002
420034282002,-79.996736386179,40.4853435884638,3,420034282002
420034291001,-79.9988001543641,40.503566516696,1,420034291001
420034291002,-80.0162322432731,40.5088281693508,1,420034291002
420034297002,-80.0390471239598,40.4945451610034,1,420034297002
420034643004,-80.0614405265004,40.4448476569017,8,420034643003
420034656001,-80.0724860534828,40.4390878370883,8,420034656001
420034658001,-80.0624373414483,40.4323837173794,2,420034658001
420034690003,-80.0550920195313,40.421694221084,67,420034690003
420034721001,-80.0342369105224,40.3982850857086,20,420034721001
420034723001,-80.0335752136723,40.3942378340118,4,420034723001
420034723003,-80.0323147143473,40.3905550263527,1,420034723002
420034731001,-80.050669895812,40.3972135151512,1,420034731001
420034772001,-79.9902558533437,40.3741162563928,33,420034772001
420034804001,-79.9510768897618,40.3872339008322,1,420034804001
420034810001,-79.9851573160228,40.4158929295786,109,420034810001
420034810002,-79.9841307714897,40.4120581018147,43,420034810002
420034810003,-79.9884095973828,40.4100417640001,125,420034810003
420034810004,-79.9851784350152,40.4078061239192,5,420034810004
420034825001,-79.918579731589,40.3977453874818,3,420035653001
420034885001,-79.9212940518977,40.364250859616,3,420034885001
420034890013,-79.9516882857314,40.3262752282081,1,420034890013
420035154011,-79.892416284265,40.4243217441565,30,420035154011
420035154012,-79.8969548276291,40.4226548960831,3,420035154012
420035154013,-79.8946878177824,40.4302661977263,3,420035154013
420035231003,-79.8701963893846,40.462437657227,1,420035231003
420035231004,-79.8829035275391,40.4646330377551,8,420035231004
420035604001,-79.8901243588896,40.4457617746842,56,420035604001
420035604002,-79.8905858954034,40.4417307451259,8,420035604002
420035605001,-79.891671969021,40.4394428262046,9,420035605001
420035611001,-79.8758485149887,40.4466445646738,2,420035648001
420035612001,-79.8814199907078,40.4474603361273,6,420035648002
420035616001,-79.9615247044649,40.4168880442376,1648,420031610001
420035616002,-79.9632775744347,40.4138242170138,1107,420031610001
420035616003,-79.97884783082,40.4161439362108,1015,420031610001
420035616004,-79.9736069384224,40.4149325119477,844,420031610001
420035617001,-79.972219604065,40.4088105317722,433,420031610001
420035617002,-79.9793775607902,40.4108819971591,806,420031610001
420035619001,-79.8940188521049,40.4729164064486,2185,420035619001
420035619002,-79.8924816830828,40.4670401189346,3061,420035619002
420035620001,-79.951010340881,40.4509319392107,1219,420035620001
420035620002,-79.9531607652097,40.4552844449813,2210,420035620002
420035620003,-79.9558077839652,40.4481953576567,2222,420035620003
420035623001,-79.9398385830672,40.4022591542947,1261,420035623003
420035623002,-79.9297529799093,40.4054573508113,3388,420035623001
420035623003,-79.9314343538425,40.4125884389603,1203,420035623002
420035623004,-79.9419544244913,40.4063920974039,1222,420035623003
420035623005,-79.9369153078026,40.4143036800061,851,420035623003
420035623006,-79.9425975163817,40.4097657025565,1985,420035623003
420035624001,-80.0012011676868,40.4077170546008,1366,420035624001
420035624002,-80.0039680447416,40.4142643857439,1186,420035624002
420035624003,-80.0015470366834,40.4166466397748,841,420035624002
420035624004,-80.005034104991,40.4187791554502,1508,420035624003
420035624005,-79.9991650591415,40.4197439998351,910,420035624003
420035625001,-80.0522611913872,40.4606792104767,1059,420035625001
420035625002,-80.0477567480552,40.4561398502725,908,420035625001
420035625003,-80.0490125749933,40.4534472923167,2659,420035625001
420035625004,-80.0582965669737,40.4580654641811,2447,420035625003
420035626001,-80.032635267099,40.4369358550724,1305,420031911002
420035626002,-80.0409732330985,40.440027997523,1960,420035626001
420035626003,-80.0367970017588,40.4482600034383,1507,420035626002
420035626004,-80.0364106964428,40.4440743182557,1111,420035626002
420035627001,-80.0144044422165,40.4507903224808,1020,420035627001
420035627002,-80.006734189257,40.4527501271388,4669,420035627002
420035628001,-80.0745993089492,40.4202383089224,943,420035628001
420035628002,-80.0658068417395,40.4269325362235,1797,420035628002
420035629001,-79.9486950598139,40.4113123625511,2132,420035629011
420035629002,-79.9471074761937,40.3922905161124,1041,420035653001
420035629003,-79.9441195031064,40.4176387147536,1137,420035629012
420035630001,-80.0847841715532,40.450786540227,2358,420035630001
420035630002,-80.0778332957668,40.459774771306,805,420035630002
420035630003,-80.0721877237791,40.4521691653153,977,420035630003
