service,priority,call_quarter,call_year,geoid,record_count
EMS,E0,Q1,2016,420032815001,3
EMS,E0,Q1,2016,420032815002,5
EMS,E0,Q1,2016,420032901001,18
EMS,E0,Q1,2016,420032901002,16
EMS,E0,Q1,2016,420032901003,9
EMS,E0,Q1,2016,420032902001,6
EMS,E0,Q1,2016,420032902002,16
EMS,E0,Q1,2016,420032902003,6
EMS,E0,Q1,2016,420032902004,5
EMS,E0,Q1,2016,420032902005,9
EMS,E0,Q1,2016,420032904001,6
EMS,E0,Q1,2016,420032904002,17
EMS,E0,Q1,2016,420032904003,2
EMS,E0,Q1,2016,420032904004,5
EMS,E0,Q1,2016,420032904005,9
EMS,E0,Q1,2016,420033001001,4
EMS,E0,Q1,2016,420033001002,2
EMS,E0,Q1,2016,420033001003,19
EMS,E0,Q1,2016,420033001004,5
EMS,E0,Q1,2016,420033001005,10
EMS,E0,Q1,2016,420033001006,5
EMS,E0,Q1,2016,420033102001,4
EMS,E0,Q1,2016,420033102002,2
EMS,E0,Q1,2016,420033102003,6
EMS,E0,Q1,2016,420033102004,4
EMS,E0,Q1,2016,420033102005,5
EMS,E0,Q1,2016,420033103001,6
EMS,E0,Q1,2016,420033204001,15
EMS,E0,Q1,2016,420033204002,3
EMS,E0,Q1,2016,420033204003,4
EMS,E0,Q1,2016,420033206001,7
EMS,E0,Q1,2016,420033206002,5
EMS,E0,Q1,2016,420033207001,7
EMS,E0,Q1,2016,420033207002,9
EMS,E0,Q1,2016,420034690003,1
EMS,E0,Q1,2016,420034810001,1
EMS,E0,Q1,2016,420035604002,1
EMS,E0,Q1,2016,420035616001,6
EMS,E0,Q1,2016,420035616002,8
EMS,E0,Q1,2016,420035616003,8
EMS,E0,Q1,2016,420035616004,1
EMS,E0,Q1,2016,420035617001,2
EMS,E0,Q1,2016,420035617002,2
EMS,E0,Q1,2016,420035619001,12
EMS,E0,Q1,2016,420035619002,17
EMS,E0,Q1,2016,420035620001,8
EMS,E0,Q1,2016,420035620002,14
EMS,E0,Q1,2016,420035620003,13
EMS,E0,Q1,2016,420035623001,4
EMS,E0,Q1,2016,420035623002,11
EMS,E0,Q1,2016,420035623003,4
EMS,E0,Q1,2016,420035623004,7
EMS,E0,Q1,2016,420035623005,6
EMS,E0,Q1,2016,420035623006,4
EMS,E0,Q1,2016,420035624001,11
EMS,E0,Q1,2016,420035624002,6
EMS,E0,Q1,2016,420035624003,5
EMS,E0,Q1,2016,420035624004,13
